	ERR3470491	ERR3470495	ERR3470496	ERR3470497	ERR3470499	ERR3470501	ERR3470502	ERR3470503	ERR3470492	ERR3470493	ERR3470494	ERR3470484	ERR3470486	ERR3470487	ERR3470488	ERR3470490	ERR3470504	ERR3470505	ERR3470506	ERR3470507	ERR3470508	ERR3470510	ERR3470511	ERR3470512	ERR3470514	ERR3470515	ERR3470516	ERR3470517	ERR3470519	ERR3470520	ERR3470521	ERR3470522	ERR3470523	ERR3470524	ERR3470526	ERR3470527	ERR3470528	ERR3470529	ERR3470530	ERR3470531	ERR3470532	ERR3470535	ERR3470536
PF3D7_1314600	19	44	3	3	4	2	1	4	6	6	0	3	2	0	0	0	11	17	6	2	2	2	8	0	0	3	2	1	2	1	5	0	4	0	3	3	8	4	6	1	13	3	1
PF3D7_0621350	4	9	10	2	3	4	0	9	4	2	0	2	6	28	0	0	6	3	2	0	1	0	2	3	2	2	4	0	0	2	1	0	0	2	1	0	2	4	1	1	1	2	3
PF3D7_0209400	75	171	25	30	7	8	6	21	32	35	11	19	3	47	1	0	26	32	24	6	4	14	68	4	9	4	14	0	10	5	26	2	19	5	5	1	71	14	10	3	122	4	6
PF3D7_1142200	31	55	19	1	2	29	1	29	39	19	1	9	12	31	5	11	24	41	75	1	1	8	22	25	1	9	8	0	3	19	7	1	4	19	3	1	19	26	7	1	20	11	16
PF3D7_0507200	51	370	107	30	21	7	19	58	38	77	19	25	8	64	14	21	41	98	63	6	10	25	52	22	4	19	9	34	109	8	21	4	33	17	8	4	180	54	9	5	85	13	25
PF3D7_0806000	37	117	23	12	8	2	4	14	21	33	4	13	2	11	9	1	16	40	22	1	15	4	20	4	10	4	6	6	17	1	16	2	10	7	3	0	68	16	20	1	44	7	11
PF3D7_1006800	232	307	187	50	36	59	16	145	132	85	0	16	47	120	6	69	156	119	67	7	15	18	218	99	9	37	59	16	24	26	13	2	18	17	5	3	121	44	7	3	206	62	120
PF3D7_0412000	9	13	2	1	1	1	1	3	4	8	0	7	1	6	1	1	20	17	6	1	6	2	4	0	0	4	2	0	2	0	5	0	1	1	6	0	8	3	4	0	4	5	0
PF3D7_0732200	23	18	13	1	12	1	3	7	11	6	4	5	0	59	10	1	46	11	4	1	4	1	5	0	1	1	5	1	1	19	7	1	1	14	1	0	0	5	0	0	8	3	0
PF3D7_0324800	122	275	42	10	2	2	2	5	14	3	1	5	0	6	2	0	8	7	32	3	0	3	0	6	0	4	5	3	7	71	10	1	13	1	1	1	1	6	7	0	30	2	5
PF3D7_1227500	62	108	35	11	7	11	6	15	11	16	0	19	0	3	4	2	60	51	20	3	7	4	7	3	7	12	6	14	13	6	9	3	5	2	17	5	69	9	10	5	9	18	0
PF3D7_0301800	444	263	145	73	81	213	17	722	318	120	6	31	325	209	9	82	441	346	241	38	11	41	344	424	18	163	361	0	3	168	1	8	2	92	26	11	1	166	33	15	304	338	602
PF3D7_0920900	230	1069	49	68	29	5	39	47	95	140	36	57	5	77	17	0	87	79	25	25	35	86	360	5	52	3	19	62	132	4	119	23	140	25	2	27	388	68	13	10	628	22	62
PF3D7_1443600	6	11	9	3	0	1	0	5	2	2	0	2	0	0	0	0	12	7	9	4	0	0	1	0	1	5	0	0	0	0	2	0	2	0	1	0	0	2	5	0	1	5	0
PF3D7_0415900	500	1005	187	119	72	75	64	211	264	202	10	121	54	212	11	14	193	142	116	27	59	57	424	88	114	27	103	90	105	32	77	13	192	40	16	15	599	100	8	4	488	67	193
PF3D7_0214100	687	784	502	302	142	369	44	470	373	186	26	348	163	370	34	68	596	1645	1208	68	25	80	375	378	38	136	392	19	55	239	93	15	192	155	121	29	142	295	77	87	316	297	287
PF3D7_0726100	1509	1676	573	366	254	604	113	1054	835	508	46	166	317	813	63	53	944	602	588	103	47	204	1181	509	48	152	645	37	95	230	192	13	52	243	100	22	198	421	45	67	730	316	572
PF3D7_0717700	172	395	70	58	32	20	27	74	51	72	5	32	11	86	9	0	64	38	33	6	25	17	167	9	42	9	20	17	46	7	62	4	112	7	6	15	377	14	5	4	195	23	34
PF3D7_1342200	5	61	3	7	1	2	6	13	7	7	0	2	1	7	1	0	13	18	9	2	4	0	8	0	1	3	5	0	2	1	7	0	6	0	3	1	9	1	2	1	24	1	2
PF3D7_1400700	5	0	2	0	0	0	0	3	0	0	0	1	0	0	0	0	8	2	3	0	0	0	1	0	0	2	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0
PF3D7_1322800	5	1	2	0	0	0	1	1	0	5	0	1	0	1	0	0	4	0	1	0	0	0	0	0	0	2	0	0	0	0	0	1	0	1	1	1	0	0	0	0	1	2	0
PF3D7_1477400	14	13	11	6	3	3	1	7	6	6	0	1	0	1	2	1	21	26	7	0	1	1	1	1	1	4	3	0	12	2	9	6	3	2	7	9	77	4	10	1	0	6	0
PF3D7_1106700	34	64	14	6	3	3	5	5	20	18	2	5	2	15	1	1	16	19	4	4	6	2	21	0	13	5	8	3	1	3	11	1	17	1	1	2	26	4	9	2	31	5	1
PF3D7_0621100	19	31	8	4	4	8	0	16	12	7	1	3	1	1	4	2	21	59	17	1	1	1	1	3	0	7	3	1	1	3	3	0	0	0	7	0	6	10	6	0	3	11	0
PF3D7_1040800	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PF3D7_0909100	8	3	6	0	1	3	0	1	2	2	0	4	0	1	1	1	4	3	2	0	0	1	0	0	0	2	1	0	1	1	3	0	0	0	1	0	2	1	3	0	2	1	0
PF3D7_1342400	141	125	39	30	10	15	4	45	54	31	1	7	13	46	3	2	63	62	28	1	3	11	93	27	7	3	30	4	14	10	17	3	16	8	3	0	70	27	6	5	90	22	52
PF3D7_1028500	311	310	139	57	29	89	16	110	113	59	2	30	48	145	9	25	133	112	81	10	11	15	177	99	36	28	60	13	13	37	43	2	44	28	10	7	147	50	11	2	196	56	133
